rank,name,city,country,category,lat,lng,place_id,formatted_address
12,Pergamino Café Laureles,,Colombia,South America,6.2413788,-75.59618689999999,ChIJzcFcU8spRI4RKdDH5QXv8LU,"Tv 34 #34 - 65, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia"
12,Arcane Estate Coffee,,USA,Top 100,40.7312804,-74.00275979999999,ChIJ3W4UsJNZwokRk16HbJqo1sc,"37 Cornelia St, New York, NY 10014, USA"
13,Caferatto Café Especial,,Colombia,South America,5.057979899999999,-75.4877292,ChIJ4csiMnxlR44RfMfHdrMP4X0,"Cra. 23c #62-72, Manizales, Caldas, Colombia"
13,Beta Coffee,,Australia,Top 100,-33.8859385,151.2077186,ChIJ1UykriGuEmsRc8p8bWZULc8,"76 Devonshire St, Surry Hills NSW 2010, Australia"
14,Wake Up Coffee Lab,"Punta Arenas, Región de Magallanes",Chile,South America,-53.1650489,-70.90637699999999,ChIJKazIcXpjsr0RkM2py-VtBek,"Pdte. Federico Errázuriz 944, 6201064 Punta Arenas, Magallanes y la Antártica Chilena, Chile"
14,Nomadic Specialty Coffee,,Egypt,Top 100,30.0659289,31.22163459999999,ChIJ1SrbduNAWBQRjLyZnFyJ2jI,"17 Ahmed Heshmat, Mohammed Mazhar, Zamalek, Cairo Governorate 4271160, Egypt"
15,Masaro Café,"Chiclayo, Peru",Peru,South America,-6.7798677,-79.83960569999999,ChIJ6R2yly_vTJAR27NqQxo3NGI,"La Florida 576, Chiclayo 14000, Peru"
15,Nemesis Coffee,,Canada,Top 100,49.28280119999999,-123.1102881,ChIJyzkVp3lxhlQR8a-kek7Ql_s,"302 W Hastings St, Vancouver, BC V6B 2N4, Canada"
16,Mulano Coffee Shop,"the south of Ecuador in a city of 25,000 inhabitants called Piñas",Ecuador,South America,-3.6800524,-79.6816882,ChIJV0wsB2NfM5ARkIyFvDZyPlk,"Av Loja, Piñas, Ecuador"
16,Nomad Frutas Selectas,"the heart of Poblenou, Frutas Selectas by Nomad Coffee is more than just a café—it’s a space designed to celebrate specialty coffee at its finest",Spain,Top 100,41.397966,2.1956227,ChIJc7PCoBejpBIREP_Tn2a4s08,"Carrer de Pujades, 95, Sant Martí, 08005 Barcelona, Spain"
17,Origen Tostadores de Café,,Peru,South America,-12.0725883,-77.06629579999999,ChIJK9g8XRrJBZER0pk3UpwRtVg,"Av. Simón Bolívar 1199, Pueblo Libre 15084, Peru"
17,Kafi Wasi Café Tostaduría,,Peru,Top 100,-16.3986215,-71.5392097,ChIJw9QmKVpKQpERNCLCkfpyCw0,"Calle Pte. Bolognesi 216, Arequipa 04001, Peru"
18,Casa Canela,,Venezuela,South America,10.424004,-66.8258463,ChIJqw7a9JP3KowRJBDX8qRsuAs,"C. Bolivar las Marias, Caracas 1083, Miranda, Venezuela"
18,Benchmark Coffee,,UAE,Top 100,25.3184047,55.4742758,ChIJG-AcxVxfXz4RZm4nv-1CiQI,Aljada Discovery Centre Aljada - Muwaileh Commercial - Sharjah - United Arab Emirates
19,Mugen Coffee Project,,Bolivia,South America,-16.5104006,-68.1260746,ChIJ9bS0MWIgX5ERUcivbh5wA-0,"Av.20 de Octubre 2475, La Paz, Bolivia"
19,Hola Coffee Lagasca,,Spain,Top 100,40.4250325,-3.685306299999999,ChIJi2D7CpcoQg0Rr5w4FbRHfSU,"Calle de Lagasca, 42, Salamanca, 28001 Madrid, Spain"
20,Coffee Five,,Brazil,South America,-22.9026279,-43.17691079999999,ChIJfezBJl9_mQARDoAuxj2X1OE,"R. da Quitanda, 86 - Centro, Rio de Janeiro - RJ, 20091-005, Brazil"
20,BlendIn Coffee Club,,Texas (USA),Top 100,29.6198189,-95.6296198,ChIJ_Trg0d7mQIYRRhhrhtSRN4M,"8410 Hwy 90 Alt Bldg B, Sugar Land, TX 77478, USA"
21,Café Guayasamin &#8211; Centro Quito,,Ecuador,South America,-0.2189069,-78.5116685,Ei5HYXJjw61hIE1vcmVubyAmIE1lasOtYSwgMTcwNDAxIFF1aXRvLCBFY3VhZG9yImYiZAoUChIJgT1rNiia1ZERC7WmUPLF7O8SFAoSCYE9azYomtWREQu1plDyxezvGhQKEgkF3LpMKJrVkRGFIWxoSvkn7RoUChIJn0DWSSia1ZERWicT_nk8vrIiCg3zmN7_FfMRNNE,"García Moreno & Mejía, 170401 Quito, Ecuador"
21,Holaste! Specialty Coffee,"the city center of Puerto Natales, Magallanes Region",Chile,Top 100,-51.7261499,-72.50746,ChIJ2ehQLBror70RRPdloMC8JDA,"Carlos Bories 385, 6160492 Ultima Esperanza, Natales, Magallanes y la Antártica Chilena, Chile"
